name,url
GⅡ毎日王冠,http://www.jra.go.jp/datafile/seiseki/replay/2018/090.html
GⅡ京都大賞典,http://www.jra.go.jp/datafile/seiseki/replay/2018/091.html
GⅡ府中牝馬S,http://www.jra.go.jp/datafile/seiseki/replay/2018/092.html
J・GⅡ東京ハイジャンプ,http://www.jra.go.jp/datafile/seiseki/replay/2018/093.html
GⅠ秋華賞,http://www.jra.go.jp/datafile/seiseki/g1/shuka/result/shuka2018.html
GⅢ富士S,http://www.jra.go.jp/datafile/seiseki/replay/2018/094.html
GⅠ菊花賞,http://www.jra.go.jp/datafile/seiseki/g1/kikka/result/kikka2018.html
GⅢアルテミスS,http://www.jra.go.jp/datafile/seiseki/replay/2018/095.html
GⅡスワンS,http://www.jra.go.jp/datafile/seiseki/replay/2018/096.html
GⅠ天皇賞（秋）,http://www.jra.go.jp/datafile/seiseki/g1/akiten/result/akiten2018.html
GⅡ京王杯2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/097.html
GⅢファンタジーS,http://www.jra.go.jp/datafile/seiseki/replay/2018/098.html
GⅡアルゼンチン共和国杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/099.html
JpnⅠJBCスプリント,http://www.jra.go.jp/datafile/seiseki/g1/jbc/result/jbc_sp2018.html
JpnⅠJBCクラシック,http://www.jra.go.jp/datafile/seiseki/g1/jbc/result/jbc_c2018.html
JpnⅠJBCレディスクラシック,http://www.jra.go.jp/datafile/seiseki/g1/jbc/result/jbc_la2018.html
GⅢ武蔵野S,http://www.jra.go.jp/datafile/seiseki/replay/2018/100.html
J・GⅢ京都ジャンプS,http://www.jra.go.jp/datafile/seiseki/replay/2018/101.html
GⅡデイリー杯2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/102.html
GⅠエリザベス女王杯,http://www.jra.go.jp/datafile/seiseki/g1/eliza/result/eliza2018.html
GⅢ福島記念,http://www.jra.go.jp/datafile/seiseki/replay/2018/103.html
GⅢ東スポ杯2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/104.html
GⅠマイルチャンピオンシップ,http://www.jra.go.jp/datafile/seiseki/g1/mile/result/mile2018.html
GⅢ京都2歳S,http://www.jra.go.jp/datafile/seiseki/replay/2018/105.html
GⅠジャパンC,http://www.jra.go.jp/datafile/seiseki/g1/jc/result/jc2018.html
GⅢ京阪杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/106.html
GⅡステイヤーズS,http://www.jra.go.jp/datafile/seiseki/replay/2018/107.html
GⅢチャレンジC,http://www.jra.go.jp/datafile/seiseki/replay/2018/108.html
GⅠチャンピオンズC,http://www.jra.go.jp/datafile/seiseki/g1/jcd/result/jcd2018.html
GⅢ中日新聞杯,http://www.jra.go.jp/datafile/seiseki/replay/2018/109.html
GⅢカペラS,http://www.jra.go.jp/datafile/seiseki/replay/2018/110.html
GⅠ阪神ジュベナイルF,http://www.jra.go.jp/datafile/seiseki/g1/hjf/result/hjf2018.html
GⅢターコイズS,http://www.jra.go.jp/datafile/seiseki/replay/2018/111.html
GⅠ朝日杯フューチュリティS,http://www.jra.go.jp/datafile/seiseki/g1/afs/result/afs2018.html
J・GⅠ中山大障害,http://www.jra.go.jp/datafile/seiseki/g1/daishogai/result/daishogai2018.html
GⅡ阪神C,http://www.jra.go.jp/datafile/seiseki/replay/2018/112.html
GⅠ有馬記念,http://www.jra.go.jp/datafile/seiseki/g1/arima/result/arima2018.html
GⅠホープフルS,http://www.jra.go.jp/datafile/seiseki/g1/hopeful/result/hopeful2018.html
